genotype_id,gene_symbols,zygosity,expression_direction,genetic_background,primary_system,n_phenotype_terms,is_famous,eligible,phenotype_terms,pmids,direction,aging_terms,also_developmental
MGI:3771565,Cbll,homozygote,decreased,involves: C57BL/6,nervous system,11,0,1,tremors|absent cerebellum|thin external granule cell layer|decreased body size|ataxia|impaired coordination|abnormal GABAergic neuron morphology|abnormal glutaminergic neuron morphology|abnormal inferior olivary complex morphology|absent cerebellar lobules|abnormal Purkinje cell differentiation,16039563,shortens,premature death,0
MGI:3771568,Ppp3ca,homozygote,decreased,involves: 129S4/SvJae,homeostasis/metabolism,10,0,1,decreased circulating calcium level|decreased body weight|decreased urine osmolality|increased circulating creatinine level|decreased circulating glucose level|increased blood urea nitrogen level|increased skeletal muscle fiber diameter|decreased skeletal muscle fiber number|abnormal skeletal muscle fiber type ratio|decreased urine creatinine level,12773574|12773574|16735444|16735444,shortens,premature death,0
MGI:3772194,Cdkn2a|Rnf2,multi-locus,decreased,involves: 129 * C57BL/6 * C57BL/10 * CBA * SJL,growth/size/body region,4,1,1,enlarged liver|enlarged spleen|abnormal common myeloid progenitor cell morphology|increased lymphoma incidence,18039844,shortens,premature death,0
MGI:3772447,,homozygote,unknown,involves: C57BL/6 * FVB/N,renal/urinary system,11,0,1,hydronephrosis|distended urinary bladder|abnormal liver morphology|abnormal circulating calcium level|abnormal urination|dilated ureter|anuria|abnormal urinary system development|increased circulating creatinine level|increased blood urea nitrogen level|increased circulating potassium level,17202422,shortens,premature death,0
MGI:3772557,Tln1,multi-locus,none,involves: 129P2/OlaHsd,hematopoietic system,11,0,1,decreased hematocrit|gastrointestinal hemorrhage|abnormal megakaryocyte morphology|low mean erythrocyte cell number|decreased hemoglobin content|thrombocytopenia|melena|abnormal thrombosis|hemoperitoneum|increased bleeding time|abnormal platelet activation,18086863|18188447,shortens,premature death,0
MGI:3772771,Lyz2|n-TUtca2,multi-locus,decreased,involves: 129P2/OlaHsd * C57BL/6 * DBA/2,cellular,2,0,1,increased apoptosis|increased cellular sensitivity to oxidative stress,18039655,shortens,premature death,0
MGI:3772773,Nfe2l2|n-TUtca2,multi-locus,decreased,involves: 129P2/OlaHsd * C57BL/6 * DBA/2 * FVB/N,liver/biliary system,5,1,1,pale liver|abnormal hepatocyte morphology|increased circulating alanine transaminase level|liver degeneration|increased hepatocyte apoptosis,18039655,shortens,premature death,1
MGI:3772799,Etv6,multi-locus,none,involves: 129S1/Sv * FVB/N,neoplasm,1,0,1,increased chronic myelocytic leukemia incidence,18068631,shortens,premature death,0
MGI:3772883,,hemizygote,increased,FVB/N-Tg(Prnp-TBP*)71-16Xjl,behavior/neurological,15,0,1,tremors|Purkinje cell degeneration|sporadic seizures|weight loss|decreased body size|impaired coordination|poor grooming|hunched posture|limb grasping|abnormal motor coordination/balance|gliosis|abnormal neuron morphology|axon degeneration|abnormal neurite morphology|slow postnatal weight gain,17994014|17994014|21705419|21705419,shortens,premature death,0
MGI:3772884,,hemizygote,increased,FVB/N-Tg(Prnp-TBP*)71-27Xjl,nervous system,12,0,1,tremors|Purkinje cell degeneration|sporadic seizures|weight loss|decreased body size|impaired coordination|poor grooming|limb grasping|gliosis|abnormal neuron morphology|axon degeneration|abnormal neurite morphology,17994014,shortens,premature death,0
MGI:3772885,,hemizygote,increased,FVB/N-Tg(Prnp-TBP*)105Xjl,nervous system,15,0,1,kyphosis|tremors|Purkinje cell degeneration|sporadic seizures|weight loss|decreased body size|impaired coordination|poor grooming|limb grasping|abnormal motor coordination/balance|gliosis|neuron degeneration|neuronal intranuclear inclusions|axon degeneration|abnormal neurite morphology,17994014,shortens,premature death,0
MGI:3773052,Kit,homozygote,none,involves: 129S6/SvEvTac * C57BL/6 * FVB/N,digestive/alimentary,5,0,1,abnormal digestive system morphology|abnormal esophagus morphology|distended ileum|distended stomach|increased gastrointestinal stromal tumor incidence,18098338,shortens,premature death,0
MGI:3773346,Ctnnb1,multi-locus,none,involves: 129P2/OlaHsd * FVB/N,endocrine/exocrine gland,8,0,1,decreased body size|pancreas inflammation|abnormal pancreas morphology|abnormal pancreas physiology|pancreas fibrosis|abnormal exocrine pancreas morphology|decreased pancreas weight|pancreatic acinar hypoplasia,17222338,shortens,premature death,0
MGI:3774594,Spr,homozygote,decreased,involves: 129S/SvEvBrd * C57BL/6J,homeostasis/metabolism,11,0,1,tremors|decreased body weight|decreased locomotor activity|postnatal growth retardation|bradykinesia|abnormal biopterin level|abnormal neopterin level|decreased dopamine level|decreased serotonin level|decreased noradrenaline level|decreased phenylalanine level,18201550,shortens,premature death,1
MGI:3774850,Atxn7,heterozygote,unknown,involves: 129S7/SvEvBrd * C57BL/6J,nervous system,1,0,1,abnormal retina rod cell morphology,16494529,shortens,premature death,0
MGI:3774856,Ptprc|Ptprj,multi-locus,decreased,involves: 129/Sv * 129P2/OlaHsd * BALB/cJ * C57BL/6,immune system,6,0,1,abnormal myelopoiesis|impaired macrophage phagocytosis|abnormal cytokine secretion|decreased B cell number|abnormal follicular B cell morphology|abnormal B cell calcium ion homeostasis,18249142,shortens,premature death,0
MGI:3774857,Ptprc|Ptprj,multi-locus,decreased,B6.Cg-Ptprc<tm1Mak> Ptprj<tm1.2Weis>,hematopoietic system,13,0,1,extramedullary hematopoiesis|abnormal spleen morphology|decreased body weight|anemia|abnormal myelopoiesis|liver inflammation|lung inflammation|abnormal B cell differentiation|decreased B cell number|abnormal follicular B cell morphology|abnormal transitional stage B cell morphology|decreased mature B cell number|decreased immature B cell number,18249142,shortens,premature death,0
MGI:3774931,Atxn1,heterozygote,none,involves: 129S7/SvEvBrd * C57BL/6,nervous system,17,0,1,kyphosis|muscle degeneration|decreased Purkinje cell number|ataxia|impaired coordination|abnormal gait|abnormal cued conditioning behavior|abnormal spatial learning|reduced long-term potentiation|limb grasping|decreased brain weight|abnormal excitatory postsynaptic potential|neuronal intranuclear inclusions|cachexia|slow postnatal weight gain|abnormal Purkinje cell dendrite morphology|dilated brain ventricle,12086639,shortens,premature death,0
MGI:3775225,Grm7|Smn1,multi-locus,mixed,involves: 129P2/OlaHsd * FVB/N,muscle,1,0,1,decreased skeletal muscle fiber size,18178576,shortens,premature death,0
MGI:3775226,Grm7|Smn1,multi-locus,mixed,involves: 129P2/OlaHsd * FVB/N,,0,0,1,,18178576,shortens,premature death,0
MGI:3775248,Grm7|Smn1,multi-locus,mixed,involves: 129P2/OlaHsd * FVB/N,limbs/digits/tail,2,0,1,decreased skeletal muscle fiber size|tail necrosis,18178576,shortens,premature death,0
MGI:3775310,Igf1r|Insr,multi-locus,none,involves: 129/Sv * 129S4/SvJae * C57BL/6 * FVB,behavior/neurological,3,1,1,decreased locomotor activity|abnormal breathing pattern|decreased heart left ventricle muscle contractility,17189427,shortens,premature death,0
MGI:3775382,Insr|Speer6-ps1,multi-locus,none,involves: 129S4/SvJae * C57BL/6 * DBA/2,homeostasis/metabolism,8,1,1,decreased body weight|polydipsia|hyperglycemia|polyuria|increased circulating insulin level|decreased insulin secretion|impaired glucose tolerance|insulin resistance,17416680,shortens,premature death,0
MGI:3775383,Insr,multi-locus,none,involves: 129S4/SvJae * C57BL/6 * DBA/2,homeostasis/metabolism,4,1,1,hyperglycemia|decreased insulin secretion|impaired glucose tolerance|decreased pancreatic beta cell mass,17416680,shortens,premature death,0
MGI:3775456,Apcs,homozygote,decreased,B6.Cg-Apcs<tm1Mpe>,immune system,9,0,1,abnormal spleen morphology|abnormal kidney morphology|abnormal spleen red pulp morphology|abnormal spleen white pulp morphology|decreased susceptibility to bacterial infection|glomerulonephritis|increased autoantibody level|increased spleen white pulp amount|renal glomerular immunoglobulin deposits,11121061|15147569,protective,decreased susceptibility to bacterial infection induced morbidity/mortality,0
MGI:3775457,Apcs,homozygote,decreased,129.Cg-Apcs<tm1Mpe>,immune system,1,0,1,glomerulonephritis,11121061|15147569,protective,decreased susceptibility to bacterial infection induced morbidity/mortality,0
MGI:3776028,Apc|Kras,multi-locus,decreased,involves: 129P2/OlaHsd * 129S4/SvJae * FVB,digestive/alimentary,1,0,1,increased intestinal adenocarcinoma incidence,18372904,shortens,premature death,0
MGI:3776057,Nf1,multi-locus,decreased,involves: 129S1/Sv * 129S2/SvPas * 129X1/SvJ,embryo,1,1,1,abnormal neural crest cell morphology,18242513,shortens,premature death,0
MGI:3776069,Cdkn2a|Nf1,multi-locus,decreased,involves: 129S2/SvPas * 129S6/SvEvTac,neoplasm,3,1,1,increased leukemia incidence|increased neurofibrosarcoma incidence|increased lymphoma incidence,18242513,shortens,premature death,0
MGI:3776087,Flcn,multi-locus,decreased,involves: C57BL/6 * FVB/N * ICR * SJL,renal/urinary system,14,0,1,abnormal kidney vasculature morphology|distended abdomen|abnormal renal tubule morphology|dilated renal tubule|enlarged kidney|kidney failure|kidney cyst|increased kidney weight|abnormal kidney pyramid morphology|abnormal kidney collecting duct morphology|dilated kidney collecting duct|increased blood urea nitrogen level|abnormal kidney corticomedullary boundary morphology|increased kidney cell proliferation,18182616,shortens,premature death,0
MGI:3776095,Dock7|Lepr,multi-locus,unknown,BKS.Cg-Dock7<m> +/+ Lepr<db>/J,,0,0,1,,760211,extends,extended life span,0
MGI:3776489,Ahr,homozygote,unknown,DBA/2J,homeostasis/metabolism,1,0,1,decreased physiological sensitivity to xenobiotic,12730383|6021513|6021513,protective,decreased susceptibility to xenobiotic induced morbidity/mortality,0
MGI:3776496,Ahr,homozygote,unknown,AKR,homeostasis/metabolism,1,0,1,decreased physiological sensitivity to xenobiotic,6021513,protective,decreased susceptibility to xenobiotic induced morbidity/mortality,0
MGI:3776497,Ahr,homozygote,unknown,DBA/2,homeostasis/metabolism,1,0,1,decreased physiological sensitivity to xenobiotic,6021513,protective,decreased susceptibility to xenobiotic induced morbidity/mortality,0
MGI:3776503,Map1lc3b,homozygote,decreased,involves: 129P2/OlaHsd,cellular,1,0,1,abnormal intestine goblet cell morphology,18069693|24185898,protective,decreased susceptibility to induced morbidity/mortality,0
MGI:3776522,Ahr,homozygote,unknown,B6.D2-Ahr<d>,homeostasis/metabolism,1,0,1,decreased physiological sensitivity to xenobiotic,16291824,protective,decreased susceptibility to xenobiotic induced morbidity/mortality,0
MGI:3776525,Ahr,homozygote,decreased,involves: 129S4/SvJae * C57BL/6J,homeostasis/metabolism,2,0,1,decreased litter size|decreased physiological sensitivity to xenobiotic,16291824,protective,decreased susceptibility to xenobiotic induced morbidity/mortality,0
MGI:3776780,,other,decreased,involves: C57BL/6J * CBA * DBA/2,homeostasis/metabolism,7,0,1,anemia|abnormal blood circulation|enlarged kidney|kidney failure|increased circulating creatinine level|increased blood urea nitrogen level|abnormal mitochondrial ATP synthesis coupled electron transport,11017072,shortens,premature death,0
MGI:3776781,,other,decreased,involves: C57BL/6J * CBA,cellular,37,0,1,myopathy|decreased body weight|decreased male mating frequency|abnormal postnatal growth|male infertility|decreased litter size|deafness|increased circulating insulin level|decreased germ cell number|asthenozoospermia|oligozoospermia|dilated renal tubule|increased insulin secretion|enlarged kidney|kidney failure|increased pancreatic beta cell number|pale kidney|glomerulosclerosis|pancreatic islet hyperplasia|decreased circulating glucose level|increased blood urea nitrogen level|teratozoospermia|impaired hearing|arrest of male meiosis|dilated proximal convoluted tubule|dilated distal convoluted tubule|increased pancreatic alpha cell number|abnormal sperm nucleus morphology|absent sperm head|abnormal sperm midpiece morphology|heart block|abnormal mitochondrial ATP synthesis coupled electron transport|dilated mitochondrion|abnormal mitochondrial crista morphology|lactic acidosis|increased circulating lactate level|decreased muscle cell respiration,11688994|11688994|15382041|15953585|16275929|17005726|11688994|16275929|15382041|15953585|15953585|16275929|16275929|16275929|17005726|17005726,shortens,premature death,0
MGI:3776840,Tcf3,homozygote,decreased,involves: 129,hematopoietic system,3,0,1,female infertility|abnormal hematopoietic stem cell morphology|decreased B cell number,9584174,shortens,premature death,0
MGI:3776843,Tcf3,homozygote,decreased,Not Specified,hematopoietic system,5,0,1,abnormal immune system morphology|postnatal growth retardation|female infertility|increased T cell derived lymphoma incidence|abnormal hematopoietic system morphology/development,9584174,shortens,premature death,0
MGI:3776919,Bicc1,homozygote,unknown,C57BL/6J-Bicc1<m1Btlr>,growth/size/body region,3,0,1,infertility|increased blood urea nitrogen level|polycystic kidney,,shortens,premature death,0
MGI:3777246,Iqgap2,homozygote,decreased,either: 129S4/SvJae-Iqgap2<tm1Vs> or B6.129S4-Iqgap2<tm1Vs>,liver/biliary system,6,0,1,decreased hepatocyte number|increased hemangioma incidence|increased hepatocellular carcinoma incidence|increased hepatocyte apoptosis|increased circulating aspartate transaminase level|abnormal hepatocyte mitochondrial morphology,18180285,shortens,premature death,0
MGI:3777383,Pla2g6,homozygote,decreased,involves: 129S2/SvPas * C57BL/6,nervous system,20,0,1,kyphosis|weight loss|ataxia|impaired coordination|abnormal gait|impaired limb coordination|reduced male fertility|neurodegeneration|abnormal sciatic nerve morphology|axonal dystrophy|abnormal myelin sheath morphology|abnormal spinal cord ventral horn morphology|abnormal axon morphology|axon degeneration|abnormal mitochondrial morphology|abnormal spinal cord grey matter morphology|abnormal synaptic bouton morphology|axonal spheroids|abnormal mitochondrial crista morphology|abnormal cell cytoskeleton morphology,18305254|18305254|21813701|21813701,shortens,premature death,0
MGI:3777579,,hemizygote,increased,involves: C57BL/6 * DBA/2,endocrine/exocrine gland,5,0,1,distended abdomen|abnormal pancreas morphology|increased pancreatic acinar cell carcinoma incidence|increased pancreas adenoma incidence|increased pancreas tumor incidence,9343166,shortens,premature death,0
MGI:3777580,,hemizygote,increased,involves: C57BL/6 * DBA/2,endocrine/exocrine gland,6,0,1,distended abdomen|increased metastatic potential|abnormal pancreas morphology|increased pancreatic acinar cell carcinoma incidence|increased pancreas adenoma incidence|increased pancreas tumor incidence,9343166,shortens,decreased tumor-free survival time,0
MGI:3777615,Dmbt1|Trp53,multi-locus,decreased,involves: 129S2/SvPas * 129X1/SvJ * C57BL/6J,,0,1,1,,18202109,shortens,decreased tumor-free survival time,0
MGI:3777616,Dmbt1|Trp53,multi-locus,decreased,involves: 129S2/SvPas * 129X1/SvJ * C57BL/6J,,0,1,1,,18202109,shortens,decreased tumor-free survival time,0
MGI:3777760,Naglu,homozygote,decreased,involves: 129S/SvEv * C57BL/6J,hearing/vestibular/ear,30,0,1,abnormal inner ear morphology|abnormal cochlea morphology|abnormal inner ear vestibule morphology|abnormal organ of Corti morphology|organ of Corti degeneration|abnormal middle ear morphology|Purkinje cell degeneration|decreased Purkinje cell number|abnormal retina morphology|impaired coordination|increased susceptibility to otitis media|abnormal sclera morphology|abnormal rod electrophysiology|abnormal crista ampullaris morphology|abnormal spiral limbus morphology|abnormal spiral ligament morphology|decreased cochlear hair cell number|conductive hearing loss|abnormal lysosome morphology|abnormal middle ear ossicle morphology|abnormal stapes morphology|abnormal retina pigment epithelium morphology|abnormal eye electrophysiology|abnormal Reissner membrane morphology|thin retina outer nuclear layer|short photoreceptor outer segment|abnormal suprachiasmatic nucleus morphology|increased or absent threshold for auditory brainstem response|abnormal circadian behavior|delayed circadian behavior phase,17712420,shortens,premature death,0
MGI:3777917,Hax1,homozygote,decreased,involves: 129P2/OlaHsd * C57BL/6,hematopoietic system,15,0,1,decreased leukocyte cell number|decreased neutrophil cell number|decreased bone marrow cell number|impaired coordination|adipsia|aphagia|abnormal motor capabilities/coordination/movement|increased neuron apoptosis|abnormal locomotor activation|astrocytosis|decreased lymphocyte cell number|decreased T cell number|decreased double-positive T cell number|decreased single-positive T cell number|decreased immature B cell number,18288109,shortens,premature death,0
MGI:3777918,Bak1|Hax1,multi-locus,decreased,involves: 129P2/OlaHsd * 129S1/Sv * 129X1/SvJ * C57BL/6,,0,0,1,,18288109,shortens,premature death,0
MGI:3777920,Bax|Hax1,multi-locus,decreased,involves: 129P2/OlaHsd * 129X1/SvJ * C57BL/6,,0,1,1,,18288109,shortens,premature death,0
MGI:3783259,Gata4,multi-locus,none,involves: 129S1/Sv * 129X1/SvJ * CD-1,cardiovascular system,8,0,1,abnormal myocardial fiber morphology|cardiac hypertrophy|dilated heart left ventricle|pulmonary edema|dilated heart|decreased cardiac muscle contractility|abnormal heart ventricle morphology|increased myocardial fiber apoptosis,16514068,shortens,premature death,0
MGI:3783296,Stat3,multi-locus,decreased,involves: 129 * C3H * C57BL/6,immune system,21,0,1,increased leukocyte cell number|abnormal intestine morphology|abnormal cecum morphology|abnormal colon morphology|intestinal ulcer|weakness|decreased body weight|decreased body size|abnormal inflammatory response|intestinal inflammation|liver inflammation|abnormal innate immunity|granulomatous inflammation|abnormal ileum morphology|colitis|abnormal T-helper 1 physiology|increased circulating tumor necrosis factor level|increased circulating interferon-gamma level|cecum inflammation|ileum inflammation|decreased NAD(P)H oxidase activity,12571365,shortens,premature death,0
MGI:3783326,,multi-locus,increased,involves: C3H * C57BL/6 * DBA/2,muscle,10,0,1,kyphosis|weakness|muscle degeneration|weight loss|decreased locomotor activity|abnormal skeletal muscle fiber morphology|increased variability of skeletal muscle fiber size|centrally nucleated skeletal muscle fibers|increased circulating creatine kinase level|decreased skeletal muscle weight,18270596,shortens,premature death,0
MGI:3783351,Ace,homozygote,altered,involves: 129S1/Sv * 129X1/SvJ * C57BL/6,cardiovascular system,4,0,1,dilated heart|decreased systemic arterial systolic blood pressure|atrial fibrillation|increased heart atrium size,15331425,shortens,premature death,0
MGI:3783420,Mlh1,homozygote,decreased,involves: 129P2/OlaHsd,neoplasm,6,0,1,decreased physiological sensitivity to xenobiotic|decreased sensitivity to induced cell death|increased small intestine adenocarcinoma incidence|increased gastrointestinal tumor incidence|increased skin tumor incidence|increased lymphoma incidence,18337503,shortens,premature death,0
MGI:3783421,Mlh1,homozygote,unknown,involves: 129/Sv * C57BL/6J * SJL,reproductive system,9,0,1,male infertility|female infertility|increased tumor incidence|oligozoospermia|increased basal cell carcinoma incidence|abnormal male meiosis|arrest of male meiosis|abnormal meiotic spindle morphology|increased lymphoma incidence,18337503,shortens,premature death,0
MGI:3783455,Stim2,homozygote,decreased,involves: BALB/cJ * C57BL/6 * SJL,cellular,2,0,1,postnatal growth retardation|abnormal cell physiology,18327260,shortens,premature death,0
MGI:3783528,Rb1|Rbl2,multi-locus,decreased,involves: 129S2/SvPas * 129S4/SvJae * FVB/N,vision/eye,3,0,1,transmission ratio distortion|abnormal retina apoptosis|increased retinoblastoma incidence,15231717,shortens,decreased tumor-free survival time,0
MGI:3783529,Rb1|Trp53,multi-locus,decreased,involves: 129S2/SvPas * 129S4/SvJae * FVB/N,vision/eye,6,1,1,abnormal retina morphology|decreased retina photoreceptor cell number|abnormal eye morphology|thin retina outer nuclear layer|increased pituitary gland tumor incidence|increased retina apoptosis,15231717,shortens,decreased tumor-free survival time,0
MGI:3783530,Rb1,multi-locus,none,involves: 129S4/SvJae * FVB/N,vision/eye,8,0,1,decreased retina photoreceptor cell number|abnormal retina inner nuclear layer morphology|transmission ratio distortion|abnormal retina ganglion layer morphology|disorganized retina inner nuclear layer|thin retina outer nuclear layer|increased pituitary gland tumor incidence|increased retina apoptosis,15231717,shortens,decreased tumor-free survival time,0
MGI:3783535,26Sor|Egln1,multi-locus,none,involves: 129S6/SvEvTac * C57BL/6,cardiovascular system,21,0,1,increased leukocyte cell number|extramedullary hematopoiesis|abnormal kidney vasculature morphology|abnormal liver morphology|enlarged liver|dilated liver sinusoidal space|enlarged spleen|reddish skin|abnormal blood vessel morphology|abnormal definitive hematopoiesis|increased hematocrit|polycythemia|abnormal capillary morphology|abnormal lung vasculature morphology|dilated vasculature|abnormal renal glomerulus morphology|increased hemoglobin content|increased angiogenesis|abnormal splenic cell ratio|increased circulating erythropoietin level|abnormal capillary branching pattern,17646578|18056838,shortens,premature death,0
MGI:3783575,26Sor,multi-locus,none,involves: C57BL/6 * C57BL/10 * CBA/Ca,immune system,38,0,1,"extramedullary hematopoiesis|abnormal immune system morphology|spleen hyperplasia|enlarged lymph nodes|abnormal immune system physiology|abnormal T cell activation|abnormal T cell differentiation|abnormal spleen marginal zone morphology|abnormal CD4-positive, alpha beta T cell morphology|abnormal immunoglobulin level|increased IgM level|increased urine protein level|increased anti-double stranded DNA antibody level|increased anti-single stranded DNA antibody level|abnormal B cell morphology|increased spleen weight|pale kidney|increased lymphocyte cell number|increased B cell number|increased B cell proliferation|abnormal CD4-positive, alpha-beta T cell physiology|increased CD4-positive, alpha-beta T cell number|increased CD8-positive, alpha-beta T cell number|lymph node hyperplasia|increased B-1a cell number|increased germinal center B cell number|decreased marginal zone B cell number|abnormal B cell activation|intermingled spleen red and white pulp|decreased spleen red pulp amount|increased spleen white pulp amount|increased IgG2a level|increased IgG2b level|increased IgG3 level|renal glomerulus hypertrophy|abnormal glomerular mesangium morphology|expanded mesangial matrix|increased mesangial cell number",18327259,shortens,premature death,0
MGI:3783638,Lama2,homozygote,unknown,involves: 129P1/Re,muscle,12,0,1,kyphosis|progressive muscle weakness|dystrophic muscle|paresis|decreased body weight|ataxia|abnormal sexual interaction|abnormal skeletal muscle fiber morphology|abnormal sarcolemma morphology|cachexia|increased variability of skeletal muscle fiber size|centrally nucleated skeletal muscle fibers,16589799,shortens,premature death,0
MGI:3783710,Socs1,multi-locus,decreased,involves: 129S4/SvJae * C57BL/6 * SJL,hematopoietic system,2,0,1,"decreased CD4-positive, alpha-beta T cell number|increased CD8-positive, alpha-beta T cell number",18322180,shortens,premature death,0
MGI:3784305,Dmd|Myod1,multi-locus,decreased,involves: 129S4/SvJae * C57BL/10ScSn,cardiovascular system,7,1,1,dilated cardiomyopathy|increased heart weight|cardiac fibrosis|increased myocardial fiber size|abnormal heart ventricle morphology|cardiac interstitial fibrosis|myocardium necrosis,9874799,shortens,premature death,0
MGI:3784404,1700016L21Rik,other,increased,C.FVB-1700016L21Rik<Tg(Itgax-HBEGF/EGFP)57Lan>,hematopoietic system,6,0,1,"increased neutrophil cell number|abnormal T cell activation|decreased cytotoxic T cell cytolysis|decreased CD8-positive, alpha-beta T cell number|abnormal CD8-positive, alpha-beta T cell differentiation|decreased dendritic cell number",12196292|22367054,shortens,premature death,0
MGI:3784422,Sp6,homozygote,decreased,B6.129-Sp6<tm1Yoya>,growth/size/body region,9,0,1,abnormal tooth development|decreased body size|abnormal tooth mineralization|abnormal dentin morphology|delayed tooth eruption|absent enamel|supernumerary teeth|supernumerary incisors|abnormal molar cusp morphology,18156176,shortens,premature death,0
MGI:3784969,Mmp14,homozygote,unknown,C57BL/6J-Mmp14<m1Btlr>,growth/size/body region,6,0,1,short snout|decreased body weight|macrophthalmia|infertility|abnormal postnatal growth/weight/body size|decreased cranium height,,shortens,premature death,1
MGI:3785080,Ighmbp2,multi-locus,increased,involves: C57BL/6J * C57BLKS/J,behavior/neurological,6,0,1,muscle degeneration|motor neuron degeneration|weight loss|dysphagia|enlarged esophagus|abnormal food intake,16174646,shortens,premature death,0
MGI:3785081,Ighmbp2,multi-locus,increased,involves: C57BL/6J * C57BLKS/J,behavior/neurological,6,0,1,muscle degeneration|motor neuron degeneration|weight loss|dysphagia|enlarged esophagus|abnormal food intake,16174646,shortens,premature death,0
MGI:3785157,Tpp2,homozygote,decreased,involves: 129S6/SvEvTac * C57BL/6,immune system,21,1,1,"extramedullary hematopoiesis|focal hair loss|abnormal spleen morphology|enlarged spleen|abnormal immune system cell morphology|weight loss|disheveled coat|abnormal immune system organ morphology|abnormal cell cycle|thymus atrophy|increased T cell number|decreased T cell number|abnormal cytotoxic T cell physiology|increased double-negative T cell number|decreased double-positive T cell number|increased T cell apoptosis|early cellular replicative senescence|decreased CD8-positive, alpha-beta T cell number|increased single-positive T cell number|increased spleen red pulp amount|abnormal splenic cell ratio",18362329,shortens,premature death|premature aging,0
MGI:3785251,Ighmbp2,multi-locus,increased,involves: C57BL/6J * C57BLKS/J,cardiovascular system,10,0,1,muscle degeneration|weight loss|abnormal cardiovascular system physiology|dilated cardiomyopathy|abnormal impulse conducting system conduction|pulmonary edema|abnormal QRS complex|abnormal PR interval|prolonged P wave|decreased pulmonary respiratory rate,15069027,shortens,premature death,0
MGI:3785254,Slco1b2,homozygote,decreased,B6.129S1-Slco1b2<tm1Cdk>,homeostasis/metabolism,12,0,1,abnormal circulating serum albumin level|abnormal liver physiology|increased circulating alanine transaminase level|increased circulating chloride level|increased circulating cholesterol level|increased circulating bilirubin level|abnormal circulating protein level|increased circulating total protein level|increased circulating sodium level|abnormal circulating mineral level|decreased circulating amylase level|decreased physiological sensitivity to xenobiotic,18296417,protective,decreased susceptibility to xenobiotic induced morbidity/mortality,0
MGI:3785260,Elane,homozygote,decreased,129X1/SvJ-Elane<tm1Sds>,immune system,2,0,1,increased susceptibility to bacterial infection|abnormal neutrophil physiology,9585238,protective,decreased susceptibility to bacterial infection induced morbidity/mortality,0
MGI:3785392,,hemizygote,increased,involves: C57BL/6 * CBA * SJL,cellular,5,0,1,muscle weakness|progressive muscle weakness|impaired coordination|astrocytosis|abnormal mitochondrial morphology,18305242,shortens,premature death,0
MGI:3785447,Hbegf,homozygote,decreased,involves: C57BL/6 * C57BL/6J * CBA,cardiovascular system,18,0,1,enlarged heart|abnormal atrioventricular valve morphology|abnormal semilunar valve morphology|dilated heart left ventricle|dilated heart right ventricle|increased myocardial fiber size|decreased heart ventricle muscle contractility|dilated heart ventricle|enlarged aortic valve|thick aortic valve|enlarged pulmonary valve|thick pulmonary valve|enlarged mitral valve|thick mitral valve|enlarged tricuspid valve|thick tricuspid valve|enlarged atrioventricular valve|enlarged semilunar valve,12621152,shortens,premature death,0
MGI:3785901,Ldlr|Npc1,multi-locus,decreased,involves: 129S7/SvEvBrd * BALB/c,homeostasis/metabolism,9,0,1,increased circulating LDL cholesterol level|decreased corpus callosum size|decreased Purkinje cell number|abnormal CNS glial cell morphology|increased cholesterol level|increased liver cholesterol level|decreased brain cholesterol level|abnormal Purkinje cell axon morphology|increased lung cholesterol level,11138930|18160655|11530237|18160655,shortens,premature death,0
MGI:3789134,Apoe|Il1rn,multi-locus,decreased,involves: 129P2/OlaHsd * 129S/SvEv * C57BL/6,cardiovascular system,5,1,1,decreased body weight|abnormal coronary artery morphology|decreased circulating cholesterol level|abnormal aorta elastic tissue morphology|abnormal macrophage chemotaxis,15914123,shortens,premature death,0
MGI:3789156,Grass1,other,unknown,involves: C57BL/6J * DBA/2J,immune system,2,0,1,decreased susceptibility to bacterial infection|sepsis,18421376,protective,decreased susceptibility to bacterial infection induced morbidity/mortality,0
MGI:3789190,Nos1|Nos2|Nos3,multi-locus,decreased,involves: 129S4/SvJae * 129S7/SvEvBrd,homeostasis/metabolism,36,1,1,increased bone mineral density|abnormal trabecular bone morphology|hypertension|polydipsia|dehydration|abnormal skeleton physiology|abnormal osteoclast physiology|polyuria|reduced fertility|abnormal kidney physiology|increased systemic arterial blood pressure|abnormal bone mineralization|increased circulating alkaline phosphatase level|decreased urine osmolality|abnormal bone structure|enlarged stomach|abnormal nitric oxide homeostasis|abnormal coronary artery morphology|increased renal tubule apoptosis|renal tubular necrosis|increased osteoclast cell number|glomerulosclerosis|abnormal renal glomerulus morphology|decreased heart rate|increased circulating creatinine level|increased blood urea nitrogen level|congestive heart failure|increased systemic arterial systolic blood pressure|decreased urine sodium level|increased blood osmolality|increased prostaglandin level|visceral vascular congestion|pulmonary vascular congestion|liver vascular congestion|pyloric sphincter hypertrophy|abnormal glomerular capillary thrombosis,16024729|18433298,shortens,premature death,0
MGI:3789197,Lama2,homozygote,decreased,involves: 129/Sv * 129P2/OlaHsd * BALB/c * ICR,muscle,10,0,1,muscle spasm|myopathy|dystrophic muscle|abnormal skeletal muscle morphology|decreased body size|abnormal gait|postnatal growth retardation|abnormal skeletal muscle fiber morphology|abnormal basal lamina morphology|increased variability of skeletal muscle fiber size,9326364,shortens,premature death,0
